Year,Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %
2014,151,The November Man,"$39,661,919","$25,018,119",63.1%,"$14,643,800",36.9%
2014,152,Sin City: A Dame to Kill For,"$39,510,168","$13,757,804",34.8%,"$25,649,812",64.9%
2014,153,Recep Ivedik 4,"$39,477,906",-,-,"$39,477,906",100%
2014,154,The Gambler,"$39,280,992","$33,680,992",85.7%,"$5,600,000",14.3%
2014,155,Samba,"$39,178,695","$151,530",0.4%,"$39,027,165",99.6%
2014,156,Women Who Flirt,"$39,156,132","$375,495",1%,"$38,780,637",99%
2014,157,Forbidden Empire 2014 Re-release,"$38,885,962",-,-,"$38,885,962",100%
2014,158,The Best of Me,"$38,681,522","$26,766,213",69.2%,"$11,843,455",30.6%
2014,159,But Always,"$38,039,248","$430,760",1.1%,"$37,608,488",98.9%
2014,160,Devil's Due,"$36,921,560","$15,821,461",42.9%,"$21,100,099",57.1%
2014,161,A Most Wanted Man,"$36,233,517","$17,237,855",47.6%,"$18,995,662",52.4%
2014,162,Kundo: Age of the Rampant,"$35,941,291","$280,958",0.8%,"$35,660,333",99.2%
2014,163,Doraemon the Movie: The New Records of Nobita's Spaceblazer 2014 Re-release,"$35,861,856",-,-,"$35,861,856",100%
2014,164,The Water Diviner,"$35,396,641","$4,196,641",11.9%,"$31,200,000",88.1%
2014,165,Endless Love,"$35,016,285","$23,438,250",66.9%,"$11,279,923",32.2%
2014,166,When Marnie Was There,"$34,949,567","$561,085",1.6%,"$34,388,482",98.4%
2014,167,Black & White: The Dawn of Justice,"$34,146,896",-,-,"$34,146,896",100%
2014,168,"My Love, Don't Cross That River","$34,012,261",-,-,"$34,012,261",100%
2014,169,Don't Go Breaking My Heart 2,"$33,801,759",-,-,"$33,801,759",100%
2014,170,Get on Up,"$33,448,971","$30,703,100",91.8%,"$2,745,871",8.2%
2014,171,Girls,"$33,325,338",-,-,"$33,325,338",100%
2014,172,The Crossing,"$32,806,475",-,-,"$32,806,475",100%
2014,173,Old Boys: The Way of the Dragon,"$32,800,000",-,-,"$32,800,000",100%
2014,174,Tinker Bell and the Legend of the NeverBeast,"$31,836,701",-,-,"$31,836,701",100%
2014,175,The Four 3,"$31,521,335",-,-,"$31,521,335",100%
2014,176,Wild Tales,"$31,478,893","$3,106,530",9.9%,"$28,372,363",90.1%
2014,177,Tazza: The Hidden Card,"$31,278,476","$251,555",0.8%,"$31,026,921",99.2%
2014,178,Mrs. Brown's Boys D'Movie,"$31,116,264",-,-,"$31,116,264",100%
2014,179,Rise of the Legend,"$30,932,534",-,-,"$30,932,534",100%
2014,180,When the Game Stands Tall,"$30,138,754","$30,127,963",100%,"$10,791",<0.1%
2014,181,Draft Day,"$29,824,199","$28,842,237",96.7%,"$981,962",3.3%
2014,182,Big Eyes,"$29,253,166","$14,482,031",49.5%,"$14,771,135",50.5%
2014,183,The Fatal Encounter,"$29,060,186",-,-,"$29,060,186",100%
2014,184,Maya the Bee Movie,"$28,638,603",-,-,"$28,638,603",100%
2014,185,Pokémon the Movie: Diancie and the Cocoon of Destruction,"$28,595,105",-,-,"$28,595,105",100%
2014,186,The Divine Move,"$27,926,871","$136,707",0.5%,"$27,790,164",99.5%
2014,187,Nicholas on Holiday,"$27,567,832",-,-,"$27,567,832",100%
2014,188,Grace of Monaco,"$27,515,600",-,-,"$27,515,247",100%
2014,189,Left Behind,"$27,405,896","$14,019,924",51.2%,"$13,385,972",48.8%
2014,190,Joy of Fatherhood,"$27,088,817",-,-,"$27,088,817",100%
2014,191,A Hard Day,"$26,488,847","$19,004",<0.1%,"$26,469,843",99.9%
2014,192,Top Five,"$26,117,471","$25,317,471",96.9%,"$800,000",3.1%
2014,193,Iceman,"$26,033,917","$7,679",<0.1%,"$26,026,238",100%
2014,194,Meet Miss Anxiety,"$25,948,636",-,-,"$25,948,636",100%
2014,195,"Love, Rosie","$25,574,387","$20,431",<0.1%,"$25,553,956",99.9%
2014,196,A Haunted House 2,"$25,358,716","$17,329,486",68.3%,"$8,029,230",31.7%
2014,197,And So It Goes,"$25,312,387","$15,160,801",59.9%,"$10,151,586",40.1%
2014,198,Kung Fu Jungle,"$24,070,765","$129,784",0.5%,"$23,940,981",99.5%
2014,199,Bears,"$24,044,199","$17,780,194",73.9%,"$3,536,551",14.7%
2014,200,Hot Road,"$22,916,313",-,-,"$22,916,313",100%
2015,1,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624","$936,662,225",45.3%,"$1,131,561,399",54.7%
2015,2,Jurassic World,"$1,670,400,637","$652,270,625",39%,"$1,018,130,012",61%
2015,3,Avengers: Age of Ultron,"$1,542,313,546","$459,005,868",29.8%,"$943,800,000",61.2%
2015,4,Furious 7,"$1,526,956,873","$353,007,020",23.1%,"$1,162,040,651",76.1%
2015,5,Minions,"$1,160,941,124","$336,045,770",28.9%,"$823,352,627",70.9%
2015,6,Spectre,"$880,674,609","$200,074,609",22.7%,"$680,600,000",77.3%
2015,7,Inside Out,"$857,611,174","$356,461,711",41.6%,"$501,149,463",58.4%
2015,8,Mission: Impossible - Rogue Nation,"$682,718,920","$195,042,377",28.6%,"$487,671,890",71.4%
2015,9,The Hunger Games: Mockingjay - Part 2,"$653,428,261","$281,723,902",43.1%,"$371,704,359",56.9%
2015,10,The Martian,"$630,599,989","$228,433,663",36.2%,"$401,728,227",63.7%
